ISO,country,unicef_region,income_group,data_year,wasting_national,wasting_national_ll,wasting_national_ul,wasting_male,wasting_female,wasting_urban,wasting_rural,wasting_Q1_poorest,wasting_Q2,wasting_Q3,wasting_Q4,wasting_Q5_richest,wasting_gender_gap,wasting_wealth_gap,wasting_urban_rural_gap
BOL,Bolivia (Plurinational State of),LAC,Lower Middle Income,2016.0,2.0,1.5,2.5,2.5,1.4,2.1,1.7,,,,,,1.1,,-0.40000000000000013
BIH,Bosnia and Herzegovina,EECA,Upper Middle Income,2012.0,2.3,1.5,3.7,2.3,2.4,1.8,2.6,1.9,2.9,2.6,1.5,2.7,-0.10000000000000009,-0.8000000000000003,0.8
BWA,Botswana,ESA,Upper Middle Income,2007.0,7.3,6.2,8.6,7.5,7.1,6.7,7.8,9.2,8.7,7.9,5.5,4.5,0.40000000000000036,4.699999999999999,1.0999999999999996
BRA,Brazil,LAC,Upper Middle Income,2019.0,3.4,2.9,4.1,3.8,3.1,,,3.6,3.4,4.1,3.5,2.5,0.6999999999999997,1.1,
BRN,Brunei Darussalam,EAP,High Income,2009.0,2.9,2.0,4.1,2.8,3.0,,,,,,,,-0.20000000000000018,,
BGR,Bulgaria,EECA,High Income,2014.0,5.9,,,,,,,,,,,,,,
BFA,Burkina Faso,WCA,Low Income,2021.0,9.3,8.6,10.1,10.6,8.0,,,,,,,,2.5999999999999996,,
BDI,Burundi,ESA,Low Income,2024.0,7.8,,,,,,,,,,,,,,
CPV,Cabo Verde,WCA,Lower Middle Income,2018.0,2.4,,,1.5,3.4,2.7,1.9,2.5,3.2,0.4,2.8,3.7,-1.9,-1.2000000000000002,-0.8000000000000003
KHM,Cambodia,EAP,Lower Middle Income,2021.0,9.6,8.4,11.0,10.9,8.2,8.4,10.3,12.4,9.9,7.6,9.8,7.8,2.700000000000001,4.6000000000000005,1.9000000000000004
CMR,Cameroon,WCA,Lower Middle Income,2018.0,4.3,3.4,5.4,5.0,3.6,3.6,4.8,7.8,4.1,2.8,3.1,2.7,1.4,5.1,1.1999999999999997
CAF,Central African Republic,WCA,Low Income,2022.0,5.2,,,,,,,,,,,,,,
TCD,Chad,WCA,Low Income,2022.0,7.8,7.0,8.6,8.7,6.8,,,,,,,,1.8999999999999995,,
CHL,Chile,LAC,High Income,2014.0,0.3,,,0.3,0.2,,,,,,,,0.09999999999999998,,
CHN,China,EAP,Upper Middle Income,2017.0,1.9,,,,,,,,,,,,,,
COL,Colombia,LAC,Upper Middle Income,2016.0,1.6,1.4,2.0,1.7,1.6,,,,,,,,0.09999999999999987,,
COM,Comoros,ESA,Lower Middle Income,2022.0,5.1,4.3,5.9,5.9,4.2,5.4,4.9,4.5,6.0,6.0,4.2,4.4,1.7000000000000002,0.09999999999999964,-0.5
COG,Congo,WCA,Lower Middle Income,2014.0,8.2,7.1,9.4,8.7,7.6,9.6,5.9,6.1,9.8,7.2,8.1,10.5,1.0999999999999996,-4.4,-3.6999999999999993
CRI,Costa Rica,LAC,Upper Middle Income,2018.0,1.8,1.3,2.5,1.8,1.8,2.0,1.3,2.0,1.5,2.4,1.3,1.7,0.0,0.30000000000000004,-0.7
