ISO,country,unicef_region,income_group,data_year,stunting_national,stunting_national_ll,stunting_national_ul,stunting_male,stunting_female,stunting_urban,stunting_rural,stunting_Q1_poorest,stunting_Q2,stunting_Q3,stunting_Q4,stunting_Q5_richest,stunting_gender_gap,stunting_wealth_gap,stunting_urban_rural_gap
ROU,Romania,EECA,High Income,2002.0,12.8,12.3,13.4,14.4,11.1,13.5,12.7,,,,,,3.3000000000000007,,-0.8000000000000007
RWA,Rwanda,ESA,Low Income,2020.0,33.1,31.4,34.9,37.0,29.2,19.8,35.8,48.5,40.5,32.8,28.6,10.7,7.800000000000001,37.8,15.999999999999996
LCA,Saint Lucia,LAC,Upper Middle Income,2012.0,2.5,1.2,5.2,4.0,1.0,3.7,2.2,5.2,1.7,4.0,0.9,0.0,3.0,5.2,-1.5
WSM,Samoa,EAP,Lower Middle Income,2019.0,7.3,6.1,8.8,7.6,6.9,9.7,6.9,7.5,6.3,7.6,9.6,5.0,0.6999999999999993,2.5,-2.799999999999999
STP,Sao Tome and Principe,WCA,Lower Middle Income,2019.0,11.7,10.0,13.8,13.0,10.4,11.7,11.8,16.3,12.5,10.8,10.3,6.9,2.5999999999999996,9.4,0.10000000000000142
SAU,Saudi Arabia,MENA,High Income,2020.0,10.8,9.7,12.1,13.6,8.0,,,,,,,,5.6,,
SEN,Senegal,WCA,Lower Middle Income,2023.0,17.5,16.0,19.0,18.5,16.4,12.0,20.9,25.2,21.4,15.0,13.7,7.7,2.1000000000000014,17.5,8.899999999999999
SRB,Serbia,EECA,Upper Middle Income,2019.0,5.4,3.8,7.6,7.4,3.1,5.9,4.9,9.6,4.2,5.2,4.9,3.0,4.300000000000001,6.6,-1.0
SYC,Seychelles,ESA,High Income,2012.0,7.9,6.3,9.9,8.9,7.0,,,,,,,,1.9000000000000004,,
SLE,Sierra Leone,WCA,Low Income,2021.0,26.3,24.9,27.6,29.1,23.6,23.2,27.9,,,,,,5.5,,4.699999999999999
SGP,Singapore,EAP,High Income,2000.0,4.5,4.2,4.8,5.0,3.9,,,,,,,,1.1,,
SLB,Solomon Islands,EAP,Lower Middle Income,2015.0,31.7,29.4,34.1,33.7,29.6,27.3,32.5,36.6,32.0,33.3,29.3,24.5,4.100000000000001,12.100000000000001,5.199999999999999
SOM,Somalia,ESA,Low Income,2009.0,25.3,22.7,28.0,27.7,22.7,19.3,26.8,,,,,,5.0,,7.5
ZAF,South Africa,ESA,Upper Middle Income,2017.0,21.3,18.7,24.2,24.9,17.8,19.5,23.6,,,,,,7.099999999999998,,4.100000000000001
SSD,South Sudan,ESA,Low Income,2010.0,31.3,29.6,33.0,33.4,29.1,29.2,32.0,31.2,34.3,32.7,32.2,26.6,4.299999999999997,4.599999999999998,2.8000000000000007
LKA,Sri Lanka,SA,Lower Middle Income,2024.0,10.5,,,,,,,,,,,,,,
PSE,State of Palestine,MENA,Lower Middle Income,2020.0,8.7,7.9,9.6,8.6,8.8,8.6,9.2,10.4,9.8,9.0,7.1,6.4,-0.20000000000000107,4.0,0.5999999999999996
SDN,Sudan,ESA,Low Income,2014.0,38.2,36.4,40.1,40.3,36.1,27.1,42.9,44.0,47.3,43.6,33.8,21.1,4.199999999999996,22.9,15.799999999999997
SUR,Suriname,LAC,Upper Middle Income,2018.0,8.3,6.8,10.1,10.1,6.5,8.3,6.4,11.6,7.7,6.9,6.4,4.7,3.5999999999999996,6.8999999999999995,-1.9000000000000004
SYR,Syrian Arab Republic,MENA,Low Income,2010.0,27.9,26.6,29.3,28.9,26.8,27.8,28.0,33.5,28.2,26.3,24.1,22.2,2.099999999999998,11.3,0.1999999999999993
TJK,Tajikistan,EECA,Lower Middle Income,2023.0,13.7,,,15.1,12.0,,,,,,,,3.0999999999999996,,
THA,Thailand,EAP,Upper Middle Income,2022.0,12.4,11.1,13.9,12.7,12.2,12.3,12.6,13.7,13.2,11.6,11.6,11.8,0.5,1.8999999999999986,0.29999999999999893
TLS,Timor-Leste,EAP,Lower Middle Income,2020.0,46.7,45.3,48.1,48.6,44.7,35.7,52.8,59.1,56.9,54.8,44.1,29.7,3.8999999999999986,29.400000000000002,17.099999999999994
TGO,Togo,WCA,Low Income,2017.0,23.8,21.9,25.7,26.2,21.3,14.2,29.7,33.2,29.0,27.9,15.2,10.9,4.899999999999999,22.300000000000004,15.5
TON,Tonga,EAP,Upper Middle Income,2019.0,2.2,1.3,3.6,2.5,1.8,2.1,2.2,3.2,3.0,1.6,1.9,0.7,0.7,2.5,0.10000000000000009
TTO,Trinidad and Tobago,LAC,High Income,2011.0,9.2,7.2,11.6,12.2,6.4,8.1,10.7,8.8,8.1,10.1,5.9,14.6,5.799999999999999,-5.799999999999999,2.5999999999999996
TUN,Tunisia,MENA,Lower Middle Income,2018.0,8.4,7.2,9.8,8.0,8.8,7.6,9.8,11.1,8.3,7.0,7.5,8.3,-0.8000000000000007,2.799999999999999,2.200000000000001
TKM,Turkmenistan,EECA,Upper Middle Income,2019.0,7.2,6.2,8.3,7.4,6.9,5.9,8.0,8.4,7.0,7.8,7.6,4.5,0.5,3.9000000000000004,2.0999999999999996
TCA,Turks and Caicos Islands,LAC,High Income,2020.0,4.6,1.0,18.2,1.8,7.0,4.7,0.0,14.8,3.2,0.0,0.0,0.0,-5.2,14.8,-4.7
TUV,Tuvalu,EAP,Upper Middle Income,2019.0,5.7,3.9,8.3,5.7,5.6,5.1,6.7,7.9,8.8,2.8,1.9,7.6,0.10000000000000053,0.3000000000000007,1.6000000000000005
TUR,Türkiye,EECA,Upper Middle Income,2018.0,6.0,4.9,7.3,6.1,5.8,5.4,7.7,12.3,6.7,3.8,2.8,2.2,0.2999999999999998,10.100000000000001,2.3
UGA,Uganda,ESA,Low Income,2022.0,24.4,,,27.2,21.6,,,,,,,,5.599999999999998,,
