ISO,country,year,sdg_region,unicef_reporting_region,wat_bas_nat,wat_lim_nat,wat_none_nat,san_bas_nat,san_lim_nat,san_none_nat,hyg_bas_nat,hyg_lim_nat,hyg_none_nat
LKA,Sri Lanka,2023,Central and Southern Asia,South Asia,87.03839812721549,6.183844888477097,6.777756984307416,89.91134783456118,9.962340467032277,0.5,87.10250839423267,12.156824017381,0.5
PSE,State of Palestine,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,97.15391317252556,2.332734867837416,0.5,,,1.089931292095514
SDN,Sudan,2023,Northern Africa and Western Asia,Sub-Saharan Africa,43.47345132743363,16.8032881131919,39.72326055937447,,,,7.563025210084033,17.57202881152462,74.86494597839135
SWE,Sweden,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,,,,99.5,0.5,0.5
CHE,Switzerland,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
SYR,Syrian Arab Republic,2023,Northern Africa and Western Asia,Middle East and North Africa,84.6615654705056,,,86.84240559343198,,,,,
TJK,Tajikistan,2023,Central and Southern Asia,Europe and Central Asia,,,,,,,,,
THA,Thailand,2023,Eastern and South-Eastern Asia,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
TLS,Timor-Leste,2023,Eastern and South-Eastern Asia,East Asia and Pacific,70.27869517551926,,,,,,65.72242278881667,,
TGO,Togo,2023,Sub-Saharan Africa,Sub-Saharan Africa,65.38025049080534,,,16.81923784993091,31.93849419612707,51.24226795394202,17.0,0.5,83.0
TKL,Tokelau,2023,Oceania,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
TON,Tonga,2023,Oceania,East Asia and Pacific,95.03470466087516,,,95.5204266127106,,,83.58632476761755,,
TUN,Tunisia,2023,Northern Africa and Western Asia,Middle East and North Africa,,,6.28393423135276,,,0.5,,,0.5
TKM,Turkmenistan,2023,Central and Southern Asia,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
TCA,Turks and Caicos Islands,2023,Latin America and the Caribbean,Latin America and Caribbean,98.70573055028467,1.29426944971533,0.5,98.70573055028467,1.29426944971533,0.5,98.70573055028467,1.29426944971533,0.5
TUV,Tuvalu,2023,Oceania,East Asia and Pacific,76.55032226349176,23.44967773650824,0.5,85.7609590368111,,,96.04749295443374,3.952507045566264,0.5
TUR,Türkiye,2023,Northern Africa and Western Asia,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
UGA,Uganda,2023,Sub-Saharan Africa,Sub-Saharan Africa,54.77461142263337,33.43667401477035,11.78871456259628,74.74562207340011,23.05173475479373,2.202643171806159,38.54997984983174,16.31801191873524,45.13200823143302
UKR,Ukraine,2023,Europe and Northern America,Europe and Central Asia,91.17868843933643,3.941118113939169,4.880193446724405,,,2.722041900265566,81.7198400114964,,
ARE,United Arab Emirates,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
TZA,United Republic of Tanzania,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,23.24495735086202,44.39621582395091,52.64044417604975,2.963339999999334,15.0296266666669,,
USA,United States of America,2023,Europe and Northern America,North America,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
URY,Uruguay,2023,Latin America and the Caribbean,Latin America and Caribbean,67.49470335804472,0.5,32.50529664195528,96.99820720460639,3.001792795393612,0.5,99.5,0.5,0.5
UZB,Uzbekistan,2023,Central and Southern Asia,Europe and Central Asia,70.01271109087278,15.27985747943504,14.70743142969218,79.74471238251385,6.395827617486148,13.85946,91.60327306981276,4.795636930187243,3.601089999999999
VUT,Vanuatu,2023,Oceania,East Asia and Pacific,,,,,,,,,
